Machine Learning;Python,Java,C++,Scikit,PyTorch,TensorFlow,Apache Mahout,Weka,Jupyter
DevOps;Git,Maven,Jenkins,Java,JavaScript,Ruby,Python,PHP,Bash
Full-Stack;HTML,CSS,JavaScript,Jquery,Angular,React,Python,Ruby,.Net,MySQL,MongoDB,Oracle,Figma,Apache,Nginx,Git
Front-End;HTML,JavaScript,CSS,TypeScript,Angular,Flutter,Bootstrap,React,React Native 
Mobile;Python,Java,Flutter,React Native,Swift,Kotlin
Back-End;JavaScript,NodeJS,Express,Python,Django,Flask,CherryPY,Ruby,PHP,Laravel,CakePHP,Java,Spring,Blade,Golang,C#,Perl,C++
Systems;Nikto,Metasploit,Wireshark,John the Ripper,Snort,Nessus
Network;Python,Golang,Perl,Bash,JavaScript
Security;Python,C++,Java,Ruby,Blockchain,FireWalls,SQL,HTML,JavaScript
Data;Python,Java,SQL,NoSQL,Hiv,SAS,Scala,SPSS,Ruby,Perl,Apache,Snowflake,Tableau,Power BI,Redshift,Athena,Azure
